gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,Contract,PaperlessBilling,MonthlyCharges,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,tenure_group,MonthlyCharges_category
1,-0.4474048350192824,0,0,0.8702765929491392,1,2.0,1,0.007600711054067387,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,2,1
0,-0.4474048350192824,1,1,0.992481291305993,1,0.0,0,0.0042767141372215345,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,2,1
0,-0.4474048350192824,1,1,0.05557860390344668,1,2.0,0,-1.3336320448933103,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,2,0
1,-0.4474048350192824,1,1,-0.9627938824036689,1,0.0,0,-0.341418965214767,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1
1,-0.4474048350192824,0,0,-1.0849985807605227,1,0.0,1,0.7604860127196961,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2
0,-0.4474048350192824,0,0,-1.2072032791173766,1,0.0,1,0.31507042586232625,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
1,-0.4474048350192824,0,0,-0.840589184046815,1,0.0,1,0.5444262131247033,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2
1,2.235112188621971,0,0,-0.7591193851422458,1,0.0,0,0.8435859356408472,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,2
0,-0.4474048350192824,1,1,-0.3517703906193996,1,2.0,1,-1.461605926191883,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0
1,-0.4474048350192824,1,1,1.6035047830902625,1,2.0,0,0.8435859356408472,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,2,2
1,-0.4474048350192824,1,1,0.05557860390344668,0,0.0,1,-0.6721566584409481,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,2,1
0,-0.4474048350192824,0,0,-1.0035287818559535,1,0.0,1,-1.4749019138592672,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0
1,-0.4474048350192824,1,0,1.6035047830902625,1,2.0,1,0.7322320389265045,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,2,2
0,-0.4474048350192824,0,0,-1.288673078021946,1,0.0,0,-1.5131278784029967,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0
0,-0.4474048350192824,0,0,0.6258671962354314,1,2.0,0,-1.3652100156033478,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,2,0
0,-0.4474048350192824,1,1,1.2368906880197008,1,0.0,1,1.1793096242422971,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,2,2
1,-0.4474048350192824,0,0,-1.288673078021946,1,0.0,1,-1.4965078938187666,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0
0,-0.4474048350192824,0,0,-0.14809589335797643,0,0.0,1,-1.3286460495180412,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0
1,-0.4474048350192824,0,0,-0.7183844856899612,1,0.0,1,0.9399818462293821,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,2
0,-0.4474048350192824,1,0,0.8702765929491392,1,1.0,0,1.5050613220932092,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,2,2
0,-0.4474048350192824,1,1,1.4813000847334086,1,2.0,0,-1.5048178861108816,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,2,0
0,-0.4474048350192824,0,0,-1.2072032791173766,1,0.0,0,0.4995522547472815,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,2
1,-0.4474048350192824,0,0,1.6035047830902625,1,2.0,1,0.3333524089049794,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,2,2
1,-0.4474048350192824,1,1,-0.7998542845945305,1,0.0,1,0.2569004798175205,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,1,2
0,-0.4474048350192824,1,1,1.1961557885674161,1,2.0,1,1.1992536057433736,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,2,2
0,-0.4474048350192824,1,0,-1.2072032791173766,1,0.0,1,0.30011243973651897,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
1,-0.4474048350192824,0,0,-1.2479381785696613,1,0.0,1,0.5278062285404731,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2
1,-0.4474048350192824,1,1,-0.7998542845945305,1,1.0,1,-0.010681271988585749,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1
0,2.235112188621971,1,0,-0.4332401895239688,1,1.0,0,-1.3120260649338111,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0
1,-0.4474048350192824,1,0,-0.06662609445340718,1,1.0,1,0.47296027941251323,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,2,2
0,-0.4474048350192824,0,0,-1.288673078021946,1,0.0,0,0.11895460776841008,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
0,-0.4474048350192824,1,1,1.0739510902105622,1,2.0,1,0.361606382698171,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,2,2
1,-0.4474048350192824,1,1,0.3814577995217237,1,1.0,0,-1.4898598999850743,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,2,0
1,-0.4474048350192824,0,0,1.4813000847334086,1,2.0,1,1.0829137136537623,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,2,2
1,-0.4474048350192824,0,0,-0.9220589829513843,1,0.0,1,0.9981517922741878,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,2
1,-0.4474048350192824,1,0,-1.288673078021946,1,0.0,0,-0.6771426538162171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1,-0.4474048350192824,1,1,0.2592531011648698,1,1.0,0,1.161027641199644,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,2,2
1,-0.4474048350192824,1,0,0.3814577995217237,1,1.0,1,1.4369193852978654,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,2,2
1,-0.4474048350192824,1,1,1.6035047830902625,1,2.0,0,0.8236419541397706,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,2,2
1,-0.4474048350192824,0,1,-1.288673078021946,0,0.0,1,-1.1208962422151636,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1,-0.4474048350192824,1,0,-0.10736099390569181,1,0.0,1,-0.5009708172233769,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,1
0,-0.4474048350192824,1,0,0.666602095687716,1,1.0,0,-1.53140986144565,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,2,0
1,-0.4474048350192824,0,0,-1.288673078021946,1,0.0,1,0.5228202331652039,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2
0,2.235112188621971,0,0,-0.5961797873331073,1,0.0,1,-0.5059568125986459,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1
0,-0.4474048350192824,1,0,-0.06662609445340718,1,0.0,1,-0.5275627925581452,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,1
0,-0.4474048350192824,1,0,1.5627698836379778,0,2.0,1,-0.1220351687029282,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,2,1
1,-0.4474048350192824,0,0,0.666602095687716,1,2.0,1,-1.5014938891940355,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,2,0
0,-0.4474048350192824,1,0,-0.7998542845945305,1,1.0,0,-0.7070586260678317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
0,-0.4474048350192824,0,0,-1.2479381785696613,1,0.0,1,-0.3331089729226519,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1
1,2.235112188621971,0,0,-0.06662609445340718,1,0.0,1,0.8518959279329622,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,2,2
0,-0.4474048350192824,1,1,-1.3294079774742305,0,2.0,1,-0.41620889584380294,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1
1,-0.4474048350192824,0,0,0.5036624978785775,1,0.0,1,-0.4710548449717626,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
0,-0.4474048350192824,0,0,0.17778330226030056,1,1.0,0,-0.0140052689054316,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1
1,2.235112188621971,1,0,-0.636914686785392,1,0.0,1,1.1759856273254512,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,2
0,-0.4474048350192824,1,1,-0.4332401895239688,1,0.0,0,-1.5014938891940355,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1,0
0,-0.4474048350192824,0,0,-1.2072032791173766,1,0.0,1,1.1277876720311837,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,2
0,-0.4474048350192824,0,0,-0.7183844856899612,1,0.0,0,-1.5014938891940355,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1,0
0,-0.4474048350192824,0,0,0.17778330226030056,1,0.0,0,1.170999631950182,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,2,2
0,-0.4474048350192824,1,1,1.6035047830902625,1,2.0,1,1.0247437676089566,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,2,2
1,-0.4474048350192824,0,0,-0.7591193851422458,1,0.0,0,0.3782263672824012,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,2
0,-0.4474048350192824,0,0,0.13704840280801595,1,0.0,1,1.1327736674064528,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,2,2
0,-0.4474048350192824,1,1,0.8702765929491392,1,1.0,1,-1.3402800387270024,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,2,0
1,-0.4474048350192824,0,0,-1.2479381785696613,1,0.0,0,-0.6704946599825251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,2.235112188621971,1,0,-0.3517703906193996,1,0.0,1,0.9466298400630743,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,2
0,-0.4474048350192824,1,1,1.6035047830902625,1,2.0,1,-1.3635480171449248,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,2,0
1,-0.4474048350192824,0,0,-1.0035287818559535,1,0.0,1,0.1671525630626773,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
0,-0.4474048350192824,1,0,-0.06662609445340718,1,1.0,1,-0.03561124886493106,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,2,1
1,2.235112188621971,1,0,-1.2479381785696613,1,0.0,1,0.7239220466343893,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2
0,-0.4474048350192824,1,1,0.014843704451162058,1,1.0,0,-1.3602240202280789,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,2,0
1,-0.4474048350192824,1,1,1.5627698836379778,1,2.0,0,-1.368534012520194,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,2,0
0,-0.4474048350192824,1,0,-1.288673078021946,1,0.0,1,0.1289265985189481,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
0,-0.4474048350192824,0,0,1.4405651852811239,1,2.0,0,-1.4965078938187666,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,2,0
1,2.235112188621971,0,1,-1.0442636813082382,1,0.0,1,-0.6422406861893337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
1,-0.4474048350192824,0,0,-1.288673078021946,1,0.0,1,-0.3264609790889597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
1,-0.4474048350192824,0,0,-1.288673078021946,1,0.0,1,0.1605045692289856,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
0,-0.4474048350192824,1,1,-1.0442636813082382,0,0.0,1,-1.3419420371854254,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,-0.4474048350192824,0,0,0.2999880006171544,1,2.0,1,-1.3452660341022715,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,2,0
1,-0.4474048350192824,1,1,1.3590953863765547,0,2.0,0,-0.4826888341807238,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,2,1
0,2.235112188621971,0,0,-1.166468379665092,1,0.0,1,0.3117464289454804,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
1,-0.4474048350192824,0,0,-1.166468379665092,1,0.0,1,-0.3048549991294605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
1,-0.4474048350192824,0,0,-0.5554448878808227,1,0.0,1,0.6541181113806226,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,2
1,-0.4474048350192824,1,0,1.5627698836379778,1,2.0,1,1.7011771401871258,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,2,2
1,-0.4474048350192824,1,0,0.014843704451162058,1,1.0,1,1.0214197706921102,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,2,2
0,-0.4474048350192824,0,0,-1.2072032791173766,1,0.0,0,0.3665923780734398,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
0,-0.4474048350192824,0,0,0.8702765929491392,1,2.0,1,-1.4815499076929592,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,2,0
0,-0.4474048350192824,1,1,1.4813000847334086,1,2.0,0,-1.5081418830277276,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,2,0
1,-0.4474048350192824,0,0,-0.636914686785392,0,0.0,1,-1.3103640664753882,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
1,-0.4474048350192824,1,1,-0.18883079281026105,0,1.0,1,-0.16857112553877274,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,2,1
0,-0.4474048350192824,1,0,0.8702765929491392,1,1.0,1,1.6479931895175894,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,2,2
0,-0.4474048350192824,0,1,1.3998302858288394,1,2.0,1,1.2939875178734856,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,2,2
1,-0.4474048350192824,0,0,-0.4332401895239688,1,0.0,1,1.1859576180759894,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,2
0,-0.4474048350192824,1,1,1.114685989662847,1,2.0,1,0.5161722393315117,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,2,2
0,-0.4474048350192824,0,0,-0.9627938824036689,1,0.0,0,-1.529747862987227,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0
0,-0.4474048350192824,0,0,1.3998302858288394,0,0.0,1,-0.38795492205061155,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,2,1
1,-0.4474048350192824,1,1,-0.5961797873331073,1,0.0,0,-0.25333304691834674,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1
0,-0.4474048350192824,0,0,-1.1257334802128074,1,0.0,0,0.3483103950307867,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
0,-0.4474048350192824,0,0,1.2368906880197008,1,1.0,1,0.8302899479734628,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,2,2
1,-0.4474048350192824,0,0,-0.9627938824036689,1,0.0,0,0.16549056460425438,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
1,2.235112188621971,0,0,0.5443973973308622,1,0.0,0,0.6624281036727377,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,2,2
0,-0.4474048350192824,0,0,0.6258671962354314,1,1.0,1,0.6109061514616242,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,1,0,0,2,2
1,2.235112188621971,1,0,1.4813000847334086,1,1.0,1,1.5117093159269013,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,1,2,2
0,-0.4474048350192824,0,0,1.0332161907582778,1,1.0,1,1.3754254423362138,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,2,2
0,-0.4474048350192824,1,0,1.6035047830902625,1,2.0,1,1.6779091617692035,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,2,2
0,-0.4474048350192824,0,0,-1.2479381785696613,1,0.0,0,-0.5275627925581452,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
1,-0.4474048350192824,1,1,1.5220349841856933,1,1.0,1,1.3654534515856758,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,2,2
1,-0.4474048350192824,1,0,-0.5147099884285381,1,1.0,1,-0.03062525348966181,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1
1,-0.4474048350192824,0,0,-1.2072032791173766,0,0.0,1,-0.9846123686244759,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
0,-0.4474048350192824,0,0,0.6258671962354314,1,1.0,0,-1.3303080479764644,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,2,0
1,-0.4474048350192824,0,0,-1.2072032791173766,1,0.0,1,1.1178156812806455,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,2
0,-0.4474048350192824,1,0,1.0739510902105622,1,0.0,0,1.1975916072849502,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,2,2
0,2.235112188621971,0,0,-0.7998542845945305,1,0.0,1,1.1876196165344122,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,2
0,-0.4474048350192824,1,1,-0.7591193851422458,1,0.0,1,0.7372180343017737,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,2
0,-0.4474048350192824,0,0,-1.2479381785696613,1,0.0,0,-1.5014938891940355,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0
0,-0.4474048350192824,0,0,1.31836048692427,1,1.0,1,1.328889485500369,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,2,2
1,-0.4474048350192824,0,0,-1.166468379665092,1,0.0,1,-0.6738186568993711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0,2.235112188621971,0,0,-0.6776495862376766,1,0.0,0,-0.18851510703984903,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1
0,-0.4474048350192824,0,0,-0.3517703906193996,1,2.0,1,-1.5131278784029967,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0
0,2.235112188621971,0,0,-1.288673078021946,0,0.0,0,-1.3236600541427723,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
