title,type,genre,release_year,duration,rating,country,date_added
Last Day 63,Movie,Animation,2013.0,103 min,6.9,GERMANY,12/03/2016
Last Tales 64,Movie,War,1998.0,198 min,4.8,Canada,2018-05-02
Secret Life 65,movie,Horror,2024.0,105 min,,South Korea,
Shadow Death 66,Movie,   ,2006.0,,4.7,South Africa,   
  Awakening 67,TV Show,Animation,2008.0,9 Seasons,5.5,Argentina,2018-02-12
   ,Movie,Horror,1998.0,98 min,9.4,France,2017-06-16
Lost Chronicles 69,TV Show,   ,2022.0,3 Seasons,4.0,South Korea,2015-01-15
,TV Show,Music,2006.0,2 Seasons,4.0,,07/02/2016
Forgotten Love 71,Movie,Sci-Fi,1981.0,64 min,3.8,France,2016-03-03
Day 72,Movie,Crime,2019.0,179 min,4.9,France,2025-01-28
   ,TV Show,Drama,2018.0,1 Season,   ,  Japan  ,2015-10-02
The Day 74,TV Show,Thriller,1980.0,10 Seasons,3.8,,2022-01-09
A War 75,TV Show,Adventure,1993.0,6 Seasons,,Egypt,2024-11-03
   ,TV Show,Documentary,1987.0,9 Seasons,8.3,,2019-10-25
Last Code 77,Movie,Documentary,2006.0,   ,4.1,South Korea,16/06/2020
Return 78,Movie,Romance,2012.0,199 min,4.1,Colombia,2015-04-24
Shadow Life 79,Movie,Sci-Fi,2010.0,183 min,8.4,,2023-11-05
Midnight War 80  ,TV Show,Mystery,2009.0,7 Seasons,5.5,,2018-11-14
Broken Game 81,Movie,Music,2004.0,88 min,6.5,,2024-12-02
Return 82,Movie,War,2015.0,195 min,8.2,India,2016-03-06
Broken Mystery 83  ,Movie,  Drama  ,2017.0,127 min,6.0,Turkey,
A Return 84,Movie,,1980.0,146 min,3.6,  Thailand  ,2022-09-10
First Night 85,Movie,Music,2010.0,,6.0,Argentina,2015-10-28
Deadly Revenge 86,TV Show,  Adventure,1843,7 Seasons,8.8,,2015-08-23
Final Game 87,Movie,Adventure,,199 min,4.2,,2020-04-26
Journey 88,TV Show,,2013.0,2 Seasons,7.6,Thailand,2018-07-08
  Death 89  ,Movie,War,1996.0,127 min,,France,2017-10-01
War 90,Movie,Family,1988.0,139 min,6.7,  India,2025-08-06
Last Journey 91,TV Show,Fantasy,2008.0,2 Seasons,8.5,Turkey  ,2018-08-10
Shadow Love 92,Tv show,Thriller  ,,6 Seasons,8.2,France,2017-03-20
Secret 93,Movie,Mystery,1998.0,   ,9.4,Denmark,2018-12-22
Last End 94  ,TV Show,Horror,1985.0,3 Seasons,,,2023-07-13
Final Death 95,Movie,Crime,2003.0,147 min,5.0,,2022-08-12
,Movie,Horror,1985.0,,8.0,,2025-10-08
A Death 97,Movie,Documentary,2019.0,156 min,0,South Africa,2018-04-17
Wild Dream 98,Movie,Thriller,   ,100 min,8.4,India,2022-08-26
Forgotten Truth 99,Movie,Sci-Fi,2010.0,,6.2,Thailand,2024-11-18
Shadow Return,Movie,Romance,2010.0,78 min,4.1,Brazil,2016-11-17
Secret Game 1,Movie,   ,1991.0,,5.7,,2023-05-08
Night 2,MOVIE,,1987.0,81 min,5.2,Argentina,2017-10-05
Shadow Night 3  ,Movie,Family,2022.0,-12 min,6.6,,   
A Night 4,TV Show,Action,2005.0,10 Seasons,4.5,Germany,2019-02-25
  Blood End 5,Movie,     ,2005.0,,7.3,,2022-07-04
Hidden Night 6,Movie,Romance,1994.0,77 min,9.3,turkey,   
  Last Awakening 7  ,TV Show,Animation,1992.0,8 Seasons,7.9,Mexico,2025-05-29
Rise 8,Movie,Fantasy,2001.0,184 min,   ,Thailand,   
Awakening 9,Movie,War,   ,,7.8,Egypt,15/05/2020
Love 10,Movie,,2025.0,96 min,7.9,Japan,2018-11-25
Final Legend 11,Movie,Crime,1988.0,164 min,   ,Thailand,2012
Last Mystery 12,TV Show,Mystery,2003.0,4 Seasons,9.2,Poland,   
Blood Lies 13,TV Show,Animation,1982.0,10 Seasons,5.7,Egypt,2017-12-20
Lost Return 14,Movie,,2002.0,99 min,8.1,Sweden,2021-10-22
Final Dream 15,TV Show,Documentary,1991.0,3 Seasons,3.5,Colombia,2016-01-28
Silent Journey 16,Tv show,Action,2020.0,5 Seasons,,Colombia,2025-13-45
Last Story 17,MOVIE,Mystery,2023.0,,5.3,Thailand,
First Day 18,TV Show,Family,1990.0,7 Seasons,4.0,Egypt,2021-03-01
,Movie,  Comedy  ,2048,,7.8,,   
Heart 20,TV Show,Fantasy,1988.0,7 Seasons,6.6,,22/04/2019
Final Heart 21,TV Show,Animation,2016.0,10 Seasons,5.2,India,2023-11-22
Journey 22,Movie,Romance,1989.0,122 min,8.0,,2024-04-03
Silent Rise 23,movie,  History  ,1988.0,167 min,6.1,Japan,2018-06-24
Blood Story 24,Movie,,2012.0,101 min,,Spain,2017-01-21
Shadow Truth 25,Movie,Drama,1992.0,   ,,,2018-06-04
First Beginning 26,TV Show,  Adventure,1999.0,6Seasons,3.5,NORWAY,2021-05-13
Love 27,TV Show,,,8 Seasons,8.6,,
Shadow Life 28,MOVIE,,1990.0,,6.9,,2018-01-06
Rise 29,Movie,War,2020.0,60 min,5.7,,2023-10-05
Lies 30,Movie,  Comedy  ,2008.0,115 min,9.2,Spain,2020-10-14
Fall 31,Movie,ACTION,1992.0,,,Italy,2018-09-30
Blood Mission 32,MOVIE,,2023.0,121 min,3.9,,2024-08-07
End 33,Movie,MUSIC,2048.0,1 hrs,0,Brazil,2025-13-45
Last Fall 34,TV Show,Drama,,6 hrs,   ,Italy,2019-06-21
   ,Movie,,2021.0,162 min,7.6,Italy,2016-04-13
  Tales 36  ,Movie,Horror,2017.0,   ,9.2,   ,2020-09-08
Dream 37,TV Show,,   ,6 Seasons,9.4,,25/11/2021
Journey 38,Movie,Animation,2021.0,74 min,5.0,Argentina,2018-04-21
,TV Show,Action,2039,,5.3,  South Africa  ,2024-04-28
Day 40  ,TV Show,Animation,1997.0,,   ,Australia,2019-07-19
Secret Secret 41,Movie,Adventure,,64 min,7.7,Mexico,2018-08-13
Heart 42,Movie,Animation,2015.0,88 min,,Colombia,2022-05-04
Secret Mystery 43,Movie,Crime,1988.0,195min,9.2,Poland,2023-11-07
,MOVIE,,1995.0,99 min,8.3,Japan,2020-12-23
A Beginning 45,Movie,Comedy,1984.0,170 min,5.5,   ,2018-10-17
Final Return 46,Movie,Crime,2048.0,174 min,7.0,   ,2017-11-07
Tales 47,Movie,History,2003.0,123 minute,7.8,  Japan,   
Broken Rise 48,Movie,Action,2023.0,NA,,,2019-12-08
Final Awakening 49,Movie,Mystery,,60 min,9.4,Italy,2025-12-30
Revenge 50,TV Show,Comedy,2018.0,2 Seasons,7.7,Norway,
Broken Story 51,Movie,Drama,2004.0,79 min,7.0,Japan,2024-03-18
End 52,Movie,Fantasy,1995.0,101 min,9.2,  Germany,2021-12-08
Broken Revenge 53  ,Movie,Sci-Fi,2021.0,114 min,6.6,,2025-11-21
Final Dream 54,TV Show,Fantasy,2001.0,3 Seasons,,,2021-03-08
   ,Movie,Documentary,,0 hrs,4.1,Turkey,2025-07-06
Awakening 56,TV Show,Thriller,2012.0,3 Seasons,,UK,2021-05-15
Mission 57,TV Show,War,   ,4 Seasons,   ,South Africa,2017-09-18
Justice 58,Movie,,1986.0,166 min,7.5,Poland,2025-13-45
Perfect Truth 59,TV Show,Comedy,,2 Seasons,8.1,Italy,2015-03-04
Final War 60,Movie,Crime,1985.0,199 min,5.3,,2015-12-10
Game 61,Movie,,1991.0,   ,-0.14999389234997018,South Africa,2025-10-29
Dark Awakening 62,Movie,History,2023.0,78 min,-0.3331479238231496,,
Tales 63,Movie,Horror,2012.0,143 min,4.4,Poland,2016-05-02
Fall 64,Movie,Action,2013.0,162 min,,Argentina,2018
Shadow Lies 65,TV Show,Sci-Fi,2000.0,3 Seasons,5.2,,2017-01-01
First Beginning 66,Movie,Crime,1997.0,132 min,   ,South Korea,2025-09-14
  Hidden Legend 67  ,Movie,Action,1993.0,173 min,,,2020-04-07
Dark Night 68,Movie,  Action,2021.0,126 min,4.4,Mexico,2025-06-17
Mystery 69,Movie,Drama,2009.0,176 min,8.0,Spain,2021-10-22
  Deadly Mystery 70,TV Show,Adventure,2025.0,,8.3,,2016-08-05
Blood Love 71  ,Movie,Animation,,136 min,,  France,2018-05-05
  Lost Dream 72,Movie,romance,1992.0,69 min,8.9,     ,2017-01-09
Mystery 73,Movie,Crime,2016.0,105 min,0,South Africa,
End 74,Movie,Sci-Fi,1998.0,,,South Africa,2016-06-14
Lost Heart 75,Movie,Crime,2016.0,101 min,8.6,Turkey,2025-03-29
  Deadly Rise 76  ,TV Show,,1992.0,2 Seasons,8.8,,2020-10-11
First Adventures 77,Movie,Mystery  ,1994.0,156 min,,UK,2024-07-17
Blood Truth 78,TV Show,Action,2005.0,9 Seasons,7.0,,2015-11-22
Deadly Soul 79,Movie,   ,1985.0,   ,7.6,Denmark,2015-09-28
   ,Movie,  THRILLER,2006.0,101 min,-1.2849524590869752,Italy,2024-04-05
Return 81,Movie,Fantasy  ,1991.0,116 min,7.0,UK,2018-08-05
Hidden Rise 82,TV Show,War,2004.0,5 Seasons,7.1,South Korea,2024-05-12
Wild Secret 83,TV Show,Mystery,1995.0,   ,5.4,uk,2024-06-23
Silent Truth 84,Movie,Documentary,2025.0,100 min,   ,uk,2015-03-22
   ,TV Show,Mystery,1995.0,9 Seasons,   ,Argentina  ,2020-01-14
Deadly Journey 86,TV Show,Sci-Fi,,,7.4,Netherlands,   
Lost Code 87,Movie,Music,2013.0,110 min,7.9,  Canada,2019-09-17
Hidden Return 88,Movie,Comedy,,,6.8,   ,2020-12-17
   ,Movie,Crime,,123 min,4.9,Italy,2021-05-11
Deadly Day 90,Movie,Horror,2025.0,181 min,7.0,Argentina,2024-03-28
Final Return 91,TV Show,,2002.0,4 Seasons,8.4,Turkey  ,2016-06-03
Lost Life 92,TV Show,,2009.0,9 Seasons,4.0,UK,2025-10-05
War 93,Movie,Documentary,2000.0,,7.5,,2017-04-26
Last Journey 94,Movie,Mystery,1996.0,134 min,4.2,Colombia,2016-08-16
Lost Chronicles 95,Movie,  History  ,1997.0,   ,7.4,Thailand,2023-09-07
Midnight Soul 96,TV Show,Thriller,1880,4 Seasons,5.2,Brazil,   
Fall 97,TV Show,Animation,1991.0,2 Seasons,,Netherlands,   
First Tales 98,TV Show,Drama,1995.0,,5.9,,2025-01-12
Hidden Revenge 99,TV Show,Thriller,2017.0,4 Seasons,5.8,  Argentina  ,2020-06-15
,Movie,Adventure,1993.0,173 min,8.6,,2016-04-02
War 1,movie,Romance,,140 min,,,2015-12-12
First Journey 2,Movie,,1997.0,106 min,3.7,Sweden,2018-02-17
Journey 3,TV Show,  Family,1999.0,,6.4,,2019-04-01
Shadow Rise 4,Movie,Action,2014.0,140 min,,Germany,2025-05-21
Forgotten Rise 5,Movie,  Romance  ,1996.0,159 min,,,Invalid Date
Blood Mystery 6,Movie,Comedy  ,1999.0,66 min,7.1,USA,   
Shadow Journey 7,TV Show,Fantasy,1985.0,4 Seasons,,Turkey,2018-07-20
Midnight Journey 8,Movie,Adventure  ,2005.0,138 min,7.9,,2017-05-07
War 9,Movie,Mystery,2038.0,141 min,8.2,Germany,2025-11-12
Dark Tales 10,Movie,  Thriller,2017.0,160 min,6.3,,2015-05-14
Midnight Fall 11,TV Show,  Documentary  ,1991.0,4 hrs,4.5,,2016-01-09
Journey 12,TV Show,,1996.0,8 Seasons,8.6,,2025-08-11
Truth 13,Movie,Crime,,75 min,4.5,USA,2018-07-12
Lies 14,TV Show,Documentary,1985.0,8 Seasons,9.4,Thailand,2023-09-24
  Shadow Day 15  ,Movie,Animation,2016.0,193 min,,,
War 16,Movie,Fantasy,2004.0,   ,,egypt,2015-08-21
Secret Chronicles 17  ,TV Show,   ,1994.0,9 Seasons,   ,Argentina,2018-09-14
Mystery 18  ,Movie,Horror,,151 min,8.7,,2018-12-25
Shadow Journey 19  ,TV Show,Animation,1988.0,3 Seasons,9.2,Turkey,2020-01-10
Lost Justice 20,TV Show,Family,2034.0,7 Seasons,7.5,France,   
  The Awakening 21  ,Movie,  War,1982.0,NA,,,2015-05-30
Wild Mission 22,Movie,,1992.0,77 min,4.7,South Africa,2024-06-15
Heart 23,Movie,Fantasy,2011.0,124 min,5.8,Denmark,2016-02-26
Soul 24,Movie,Family,1985.0,175 min,5.9,UK,2018-02-01
Broken Secret 25,MOVIE,Music,1980.0,NA,4.5,uk,
Shadow Revenge 26,TV Show,Sci-Fi,,8 Seasons,6.9,FRANCE,2024-03-26
Final Mission 27,Movie,   ,1984.0,87 min,8.0,Denmark,2025-13-45
Mystery 28,TV Show,Sci-Fi,1981.0,6 Seasons,5.0,poland  ,2024-09-16
  Wild Lies 29,Movie,Thriller,2001.0,84 min,7.9,Argentina,2015-04-02
Wild Adventures 30,TV Show,Romance,2011.0,9 Seasons,8.5,Italy,2016-08-21
Journey 31,Movie,Crime,2020.0,145 min,3.6,Australia,2023-08-05
  Shadow Story 32,Movie,Mystery,1986.0,77 min,,Argentina,2019-12-19
  The Day 33  ,Movie,FANTASY,2000.0,74 min,4.8,UK,2024-05-08
Secret Awakening 34,Movie,  History  ,1996.0,   ,3.6,,2022-12-23
A Dream 35,TV Show,Action,1999.0,3 Seasons,8.3,Argentina,2019-05-22
Lost Journey 36,Movie,  Adventure  ,1980.0,,8.2,,2020-01-28
Wild Dream 37,Movie,Romance,2011.0,,3.6,Thailand  ,2022-05-02
   ,Movie,Family,   ,169 min,,,2021-12-15
Midnight Story 39,Movie,Drama,2011.0,96 min,9.0,Argentina,Invalid Date
A Heart 40,TV Show,Thriller,1999.0,7 Seasons,8.9,poland,2025-04-30
Day 41,TV Show,     ,1989.0,5 Seasons,6.6,Poland,
  A Tales 42,TV Show,Crime,1985.0,8 Seasons,8.6,Poland,2016-05-26
War 43,Movie,,2020.0,181 min,5.3,India,2022-07-11
Story 44,Movie,Thriller,2012.0,101 min,4.4,USA,2020-09-26
Final Life 45,TV Show,Comedy,1989.0,10 Seasons,,,
   ,Movie,Drama,2004.0,156 min,7.0,france,2018-01-28
Forgotten Chronicles 47,TV SHOW,  Animation  ,2003.0,8 Seasons,,,2023-08-12
Heart 48,TV Show,History,2010.0,5 Seasons,,France,2025-05-30
Rise 49,tv show,Documentary,2008.0,1 Season,7.1,Australia,2018-01-29
First Tales 50,Movie,Documentary,1991.0,,,Thailand,2015-02-02
,Movie,Adventure,,71 min,8.1,Egypt,2018-02-22
Silent Legend 52,TV Show,Drama,2016.0,7 Seasons,3.7,,2025-10-27
Wild Soul 53,Movie,,2021.0,,4.9,South Korea,   
Lost Day 54,Movie,Adventure,1988.0,196 min,5.4,,2016-08-02
Final Love 55,Movie,Drama,2008.0,170 min,7.8,USA,2023-01-30
Silent Awakening 56,TV Show,Romance,1982.0,4 Seasons,8.3,Spain,
First Revenge 57,TV Show,Animation,1983.0,3 Seasons,7.3,Australia,2017-07-11
A Heart 58,Movie,Drama,2000.0,74 min,5.5,,2016-06-10
Perfect Day 59,Movie,Horror,1985.0,190 min,13.981856701182748,Canada,2017-11-03
Deadly Story 60,Movie,Comedy,1981.0,125 min,5.9,,2016-11-23
  Midnight Love 61,Tv show,Action,2016.0,unknown,,Colombia,2015-04-17
Perfect Fall 62,Movie,Action,,137 min,7.1,Argentina,2015-06-18
,Movie,Sci-Fi,2024.0,109 min,7.6,,2021-10-15
Death 64,TV Show,   ,2012.0,3 Seasons,,South Korea,2018-09-16
  Dark Rise 65  ,TV Show,Comedy,1993.0,7 Seasons,4.2,   ,2017-12-25
  Shadow Tales 66  ,Tv show,Comedy,1999.0,3 Seasons,6.1,Australia,2015-12-01
Broken Justice 67,TV Show,,2022.0,1 Season,5.7,,2015-06-09
Dark Lies 68,Movie,Documentary,1981.0,115 min,,Mexico,2025-06-02
Last Dream 69,Movie,Thriller,1986.0,   ,4.7,USA,2020-09-11
  Final Tales 70,TV Show,Horror,,3 Seasons,,   ,2023-12-28
Wild Lies 71,TV Show,drama,1991.0,2Seasons,6.8,,2025-03-05
Awakening 72,TV Show,Animation,1995.0,6 Seasons,,,2018-04-19
,TV Show,,1996.0,8 Seasons,4.8,,2016-06-01
  Dark Lies 74,Movie,,2010.0,99 min,4.9,Thailand,2023-10-19
Rise 75,Movie,drama,1986.0,   ,,Brazil,2021-09-17
Dark Secret 76,TV Show,Family,2005.0,6 Seasons,5.5,South Africa,2020-04-01
Game 77,Movie,Mystery,1980.0,171 min,4.6,Mexico,2021-10-16
Adventures 78,TV Show,Mystery,,7 Seasons,-1.4333043684375173,Colombia,2022-10-02
,TV Show,Horror,2010.0,2 Seasons,6.5,Colombia,   
  Mission 80,TV Show,,1999.0,5 Seasons,4.7,UK,2020-04-24
Midnight Journey 81,Movie,   ,2016.0,79 min,6.3,Germany,2019-05-24
Last Truth 82,Movie,Fantasy,2012.0,109 min,8.0,France,2018-04-28
Chronicles 83,Movie,Romance,1992.0,115 min,,india,2016-07-24
Return 84,Movie,   ,1980.0,82 min,5.7,Netherlands,
Midnight Secret 85,Movie,Music,2012.0,176 min,,,2030-05-15
Broken Adventures 86,Movie,Sci-Fi,1982.0,139 min,4.8,mexico,   
Perfect Chronicles 87,Movie,  War  ,2016.0,,6.1,Australia,2017-07-25
Silent Dream 88,Movie,History,1998.0,66 min,9.3,South Africa,2022-12-24
Adventures 89,MOVIE,Action,2023.0,148 min,7.7,Spain,2025-13-45
Love 90,movie,Adventure,,139 min,9.1,Turkey,2025-11-19
Hidden Game 91,Movie,Fantasy,2011.0,144 min,4.1,  France,2030-05-15
Mission 92,TV Show,Music,1984.0,1 Season,9.2,,2017-04-08
Legend 93,Movie,  War,2022.0,88 min,-0.21828073896217326,Poland  ,2016-10-08
Blood Rise 94,Movie,,2016.0,108 min,5.2,Brazil,2019-01-01
Love 95,Movie,Thriller,1985.0,89 min,   ,  Germany,   
   ,TV SHOW,  Comedy  ,2015.0,5 Seasons,7.1,Poland,2024-04-01
Silent Story 97,Movie,Romance,2016.0,87 min,4.0,  France,2017-01-12
  Secret Dream 98,Movie,Adventure,1992.0,143 min,6.7,,2015-12-15
Night 99,MOVIE,Music,1991.0,62 min,7.4,Japan,
Secret Fall,Movie,Animation,1985.0,137 min,3.6,South Africa,2016-12-10
Midnight Love 1,Movie,Animation,2009.0,79 min,6.8,Spain,2022-02-01
Silent Mission 2,Movie,Thriller,2016.0,67 min,,SWEDEN,2020-03-21
Deadly Death 3,Movie,Family,2007.0,77 min,6.2,UK,2018-01-29
Dark Awakening 4,TV Show,Sci-Fi,1989.0,1 Season,,Spain,2015-12-06
Last Soul 5,TV Show,Romance,2007.0,1 Season,6.5,Argentina,2025-01-10
A Life 6,Movie,Mystery,1985.0,123 min,   ,Germany,2030-05-15
Legend 7,Movie,Sci-Fi,1988.0,175 min,7.9,   ,2023-02-23
Last War 8,TV Show,Romance,2003.0,,9.1,,2022-09-20
Tales 9,Movie,Music,1997.0,109 min,   ,Germany,2018-06-26
Final Tales 10,Movie,Family,1983.0,60 min,5.8,Norway,
  Forgotten End 11,Movie,ACTION,2024.0,,,Netherlands,2022-12-16
Broken Truth 12,Movie,animation,2002.0,173 min,7.9,Spain,2018-09-23
A Rise 13,tv show,Family,2006.0,3 Seasons,5.3,Sweden,2019-02-19
First Tales 14,TV Show,Family,1983.0,7 Seasons,5.6,USA,2016-02-18
Game 15,TV Show,,1992.0,7 Seasons,4.3,USA,2019-11-13
Day 16,Movie,Documentary,1990.0,82 min,7.6,,2025-04-29
Death 17,Movie,Crime,1990.0,124 min,5.6,Canada,2022-07-02
Hidden Story 18,Movie,   ,1998.0,86 min,,India,2023-09-03
Midnight Truth 19,Movie,Music,2012.0,143 min,7.3,Spain,2016-06-11
Truth 20,Movie,,1993.0,1 hrs,3.6,,2025-13-45
Forgotten Day 21,TV Show,History,1992.0,4 Seasons,9.2,Australia,
Dark Revenge 22,TV Show,HISTORY,1986.0,,7.3,  Australia,2020-04-02
Lost Mystery 23,Movie,Drama,2012.0,64 min,,  Mexico  ,2020-03-28
War 24,TV Show,Romance,   ,3 Seasons,7.4,,2025-04-01
Dark Justice 25,TV Show,Music,   ,1 Season,13.777378031904897,Japan,2023-11-13
Night 26,Movie,Family,2016.0,160 min,4.9,,2016-09-13
Truth 27,Movie,,,140 min,6.7,,2021-11-15
Silent Journey 28,Movie,ANIMATION,2025.0,,9.2,Thailand,2015-10-09
Chronicles 29,Movie,Documentary,1837.0,134 min,5.2,France,2019-07-16
   ,Movie,DOCUMENTARY,1998.0,8 hrs,7.8,,2016-05-21
Midnight Journey 31,TV Show,  Family  ,2015.0,9 Seasons,9.3,Egypt,2022-07-19
Night 32,Movie,Music,2013.0,,6.8,,2023-07-20
Deadly Rise 33,Movie,,2015.0,126 min,6.3,,2025-06-12
Day 34,Movie,Music,1985.0,162 min,8.0,UK  ,
Return 35,Movie,Fantasy,,unknown,4.3,Poland,2019-09-20
The Tales 36,TV Show,Documentary,2024.0,7 season,,     ,2021-08-06
Dark Legend 37,TV Show,Crime,2009.0,3 Seasons,,,2017-06-21
   ,Movie,Horror,1994.0,198 min,8.5,  Mexico  ,2025-06-05
Code 39,Movie,Fantasy,1988.0,106 min,4.0,France,2024-08-31
Dark Death 40,Movie,Romance,2008.0,161 min,7.0,Egypt,2018-02-16
Broken Fall 41,Movie,Documentary,1981.0,   ,3.8,SOUTH KOREA,2021-06-14
Last Mission 42,Movie,Family,2009.0,142 min,6.5,THAILAND,2024-04-15
Deadly Lies 43,Movie,Crime,2025.0,133 min,4.3,,2019-09-08
Hidden Lies 44,Movie,Documentary,1983.0,164 min,,South Korea,2015-12-24
Midnight Truth 45,Movie,Romance,1998.0,105 min,5.4,Japan,2020-03-02
  Wild Justice 46,Movie,Thriller,1999.0,170 min,12.155495372835114,South Korea,
A Journey 47,Movie,Family,1984.0,142 min,3.9,France,2018-06-18
Dream 48,Movie,Action,1988.0,   ,12.80689179265681,South Korea,2019-06-10
Wild Awakening 49,Movie,History,1999.0,120 min,,South Korea,2017-10-29
The Return 50,Movie,Music  ,1995.0,173 min,,Canada,2021-02-20
   ,TV Show,   ,1999.0,5 Seasons,7.4,Italy,2020-01-24
Code 52,TV Show,Crime,1999.0,3 Seasons,7.5,Argentina,2025
Midnight Fall 53,Movie,   ,2005.0,124 min,0,Turkey,2023-01-03
A Game 54,Movie,Action,2018.0,87 min,,,2024-06-03
Life 55,Movie,Adventure,2012.0,191 min,,Spain,2020-08-24
Forgotten Beginning 56,Movie,Fantasy,1991.0,72 min,8.4,Norway,2017-02-03
First Story 57,Movie,  Comedy,2000.0,118 min,,Brazil,2015-08-19
Final Chronicles 58,TV Show,Sci-Fi,2002.0,8 Seasons,6.4,Argentina,Invalid Date
Secret 59,Movie,Comedy,1999.0,103 min,7.3,BRAZIL,2024-06-20
Mystery 60,Movie,Drama,2002.0,174 min,-0.9568191294296802,,2022-05-24
Justice 61,Movie,   ,   ,71 min,6.8,   ,2021-07-28
Forgotten Love 62,Movie,History,,104 min,8.5,Spain,2024-08-08
