işlem_id,müşteri_id,işlem_tarihi,işlem_saati,tutar,para_birimi,işlem_tipi,kanal,cihaz,ip_adresi,konum_il,kart_türü,merchant_kategori,fraud_etiket
TRX6153227184,C5139905898,2025-07-31,01:21:22,103.58,TRY,Havale/EFT,POS,iPhone 14 Pro,103.69.121.88,Adana,Kredi Kartı,E-Ticaret,0
TRX5381867947,C7484121370,2025-06-17,03:13:37,152.5,TRY,İade,Web,Huawei P40,26.171.167.69,Gaziantep,Ön Ödemeli,Eğlence,0
TRX2556392843,C7929744232,2024-09-27,,,USD,Fatura Ödeme,Web,Samsung S23,143.110.138.57,Muğla,Banka Kartı,Seyahat,0
TRX5789899542,C9890106388,2024-02-21,,67.55,TRY,İade,Web,Xiaomi Mi 11,41.40.85.207,,Kredi Kartı,Elektronik,0
TRX5997868877,C4996129925,2026-01-09,04:17:51,176.88,TRY,Alışveriş,ATM,iPhone 13,40.199.211.23,Kayseri,Kredi Kartı,Elektronik,0
TRX1688469111,C7989337422,,22:28:42,36.58,TRY,Havale/EFT,Mobil Uygulama,Huawei P40,14.35.145.23,Kayseri,Kredi Kartı,Market,0
TRX7465915538,C9962402073,,15:45:13,58.09,TRY,Fatura Ödeme,Mobil Uygulama,Windows PC,29.33.23.107,Bursa,Kredi Kartı, Akaryakıt,0
TRX5681108598,C3379968916,2025-05-31,19:10:45,57.01,EUR,Para Çekme,Mobil Uygulama,Android Tablet,157.180.130.142,G.Antep,Kredi Kartı,E-Ticaret,0
TRX5427590712,C5261461865,2025-08-16,,63.16,TRY,Havale/EFT,Web,Xiaomi Mi 11,112.247.27.64,Ankara,Banka Kartı,Elektronik,0
TRX4548370509,C4766873730,2025-08-02,19:00:04,57.22 TL,TRY,Alışveriş,Mobil Uygulama,Samsung S23,198.252.20.231,Eskişehir,Kredi Kartı,Sağlık,0
TRX2796324758,C6595769824,2024-05-28,,71.12,TRY,Para Çekme,Mobil Uygulama,iPhone 14 Pro,140.42.201.145,Şanlıurfa,Kredi Kartı,Yemek,0
TRX2451760174,C3326008816,2024-10-04,13:15:45,124.54,TRY,,Mobil Uygulama,,132.64.60.202,Kayseri,Ön Ödemeli,ABONELIK,0
TRX7584604784,C9669601567,21-12-2024,09:53:52,5531.11,TRY,Para Çekme,Mobil Uygulama,MacBook,28.181.248.28,Muğla,Kredi Kartı,,0
TRX7601784559,C2208917072,2025-01-14,16:17:22,25.9,TRY,Alışveriş,Mobil Uygulama,,88.83.132.168,Gaziantep,Kredi Kartı,Seyahat,0
TRX7858791886,C5299153821,2024-02-03,09:53:59,37.23,TRY,Alışveriş,POS,Windows PC,8.16.85.88,Trabzon,Kredi Kartı,Market,0
TRX7925080152,C8716791446,2025-02-20,15:09:47,72.21,TRY,,ATM,MacBook,12.71.178.128,Diyarbakır,Banka Kartı,Kuyumcu,0
TRX9396333766,C9710166191,2024-04-27,,117.72,TRY,,Web,Windows PC,243.145.177.11,Manisa,,Abonelik,0
TRX7320526463,C4139410968,,,30.15,USD,Para Yatırma,Mobil Uygulama,Windows PC,137.166.53.184,,Banka Kartı,Giyim,0
TRX8316206269,C0591748151,2025-06-04,21:41:09,60.26,TRY,Para Çekme,Mobil Uygulama,iPhone 13,83.164.52.180,,Kredi Kartı,Elektronik,0
TRX3776545327,C1357269561,2025-12-03,22:36:03,97.78,,Alışveriş,POS,Android Tablet,,,Kredi Kartı,Kuyumcu,0
TRX7656665674,C7442281535,2025-07-21,15:30:04,94.85,TRY,Alışveriş,ATM,MacBook,,Ankara,Banka Kartı,Eğlence,0
TRX0666005144,C1051598029,2024/10/06,09:31:40,97.73,TRY,İade,POS,iPhone 14 Pro,131.30.249.197,Konya,Kredi Kartı,Yemek,0
TRX8265710489,C7889000712,,02:55:26,418.06,TRY,Fatura Ödeme,Mobil Uygulama,Samsung S23,138.154.232.153,İzmir,Sanal Kart,E-Ticaret,0
TRX5147957656,C3949310522,2024-11-09,17:25:25,23.64,TRY,Para Yatırma,Web,Xiaomi Mi 11,51.221.23.133,Tekirdağ,Kredi Kartı,Yemek,0
TRX2754383314,C7283627166,2024-09-05,18:12:29,62.73,TRY,Alışveriş,Mobil Uygulama,iPhone 13,212.183.113.177,Diyarbakır,Kredi Kartı,E-Ticaret,0
TRX9474159317,C8226716138,2025-11-21,14:48:15,170.58,TRY,Alışveriş,POS,Samsung S21,129.76.64.151,Mersin,Kredi Kartı,Akaryakıt,0
TRX9201482893,C2152396488,2024-10-09,01:55:43,"14,34",TRY,İade,Mobil Uygulama,Samsung S23,202.7.109.173,Samsun,Sanal Kart,Kuyumcu,0
TRX0602542745,C5384515163,2024-02-28,20:01:42,135.31,TRY,Fatura Ödeme,POS,Xiaomi Mi 11,bilinmiyor,Kocaeli,Kredi Kartı,Akaryakıt,0
TRX0176891803,C1379937267,2024-12-23,08:24:32,404.01,TRY,Para Çekme,POS,Samsung S21,158.35.123.120,Konya,Banka Kartı,Yemek,0
TRX2046206062,C7497946139,2025-08-29,,81.1,USD,Para Yatırma,Mobil Uygulama,iPhone 14 Pro,57.185.38.114,,Sanal Kart,Yemek,0
TRX5387746857,C7997711258,2024-05-24,09:45:11,91.45,USD,Havale/EFT,Mobil Uygulama,iPhone 14 Pro,40.252.128.215,Balıkesir,Kredi Kartı,Akaryakıt,0
TRX1348395872,C6013134830,2024-12-18,12:51:52,34.38,TRY,Alışveriş,POS,Windows PC,124.9.237.92,Antalya ,Banka Kartı,E-Ticaret,0
TRX1199487957,C8736748971,2024-04-09,14:49:02,293.06 TL,TRY,Havale/EFT,Mobil Uygulama,iphne13,226.122.83.81,Ankara,Kredi Kartı,Elektronik,1
TRX1672291697,C5893717076,,23:59:22,389.31,TRY,Alışveriş,Mobil Uygulama,,206.147.168.214,,Kredi Kartı,Akaryakıt,0
TRX7517210454,C2463271753,2024-12-28,20:11:14,80.22,TRY,Alışveriş,Mobil Uygulama,Windows PC,150.13.157.158,Şanlıurfa,Kredi Kartı,Market,0
TRX4539228547,C4196214165,2024-09-08,05:04:48,40.09,TRY,Alışveriş,Web,iPhone 14 Pro,21.43.186.133,Şanlıurfa,Kredi Kartı,Akaryakıt,0
TRX1380468907,C5931972562,21/06/2024,06:55:01,48.01,TRY,Havale/EFT,,iPhone 14 Pro,171.241.129.90,Kocaeli,Banka Kartı,Giyim,0
TRX6351016633,C9024124398,2025-03-06,23:32:37,332.74,USD,Havale/EFT,POS,MacBook,158.205.174.147,Konya,Kredi Kartı,Eğlence,0
TRX3352539714,C8911550670,2025-05-25,15:04:27,,USD,Alışveriş,Mobil Uygulama,Xiaomi Mi 11,247.197.26.208,Kocaeli,Kredi Kartı,Yemek,0
TRX6977201855,C3707483082,2025-12-17,20:38:41,12382.48,TRY,Alışveriş,,Xiaomi Mi 11,24.15.239.107,İzmir,Banka Kartı,Yemek,0
TRX2863699045,C6027977927,29-11-2024,13:44:28,78.44,TRY,Alışveriş,Web,iPhone 14 Pro,112.173.136.191,Trabzon,Sanal Kart,Akaryakıt,0
TRX1148100217,C8025284004,,07:53:36,39.93,TRY,İade,Mobil Uygulama,Samsung S23,53.190.50.25,İzmir,Kredi Kartı,Seyahat,0
TRX9288852647,C7704810117,2025-09-26,14:57:33,102.36,TRY,Alışveriş,Mobil Uygulama,Xiaomi Mi 11,138.1.30.153,Ankr,Banka Kartı,Giyim,0
TRX7320045042,C6580899904,2025-04-24,19:47:14,66.15,TRY,Alışveriş,Web,iPhone 13,30.18.125.241,Kony,Kredi Kartı,Market,0
TRX3285827222,C1006769642,2025-06-17,,176.55,TRY,Para Çekme,Mobil Uygulama,Samsung S21,13.64.185.72,Kocaeli,Banka Kartı,Yemek,0
TRX7174744048,C4527832612,2024-03-15,02:12:50,202.35,,Alışveriş,Web,Huawei P40,5.18.168.99,Şanlıurfa,Kredi Kartı,Giyim,0
TRX5376603410,C8148882530,2024-08-26,12:05:16,16.58,TRY,Alışveriş,Mobil Uygulama,Huawei P40,93.25.137.211,Bursa,Kredi Kartı,,0
TRX1372553871,C1184944144,2025-08-08,23:49:53,195.42,TRY,Alışveriş,Web,,165.205.171.34,İzmir,Kredi Kartı,Eğlence,0
TRX0839237173,C0788815140,2025-09-26,22:47:10,39.3,TRY,,Web,iPhone 14 Pro,bilinmiyor,Diyarbakır,Kredi Kartı,,0
TRX6000617372,C9374984415,2024-11-27,09:47:09,36.82,TRY,Alışveriş,,Windows PC,40.156.156.67,İstanbul,Kredi Kartı,Seyahat,0
TRX5795847825,C4815325307,2025-09-05,05:11:55,52.69,TRY,İade,Mobil Uygulama,iPhone 14 Pro,110.25.188.137,Tekirdağ,Kredi Kartı,E-Ticaret,0
TRX5459985213,C2878799710,2025-10-03,08:19:12,153.73,TRY,Alışveriş,Web,MacBook,66.232.11.156,Kayseri,Banka Kartı,Market,0
TRX4981741660,C3769751528,,,102.72,TRY,Alışveriş,,Windows PC,65.76.82.201,Konya,Kredi Kartı,,0
TRX2827754320,C1991440088,2025-11-15,16:45:52,58.35,TRY,Alışveriş,Web,iPhone 14 Pro,51.12.177.133,Muğla,Banka Kartı,Yemek,0
TRX9701599588,C0188243067,2024-08-07,17:23:05,13.59,,Havale/EFT,Web,MacBook,40.7.92.104,Balıkesir,Kredi Kartı,Yemek,0
TRX7920573816,C6540109192,2024-07-01,15:02:25,,TRY,Para Çekme,ATM,Win pc,166.26.58.92,Samsun,Kredi Kartı,Sağlık,0
TRX6296197767,C9527951106,04-06-2025,23:39:37,-111.65,TRY,Alışveriş,Web,Android Tablet,219.46.36.143,Diyarbakır,Kredi Kartı,Akaryakıt,1
TRX5931218616,C2302705460,2025-04-30,21:02:49,202.81,TRY,,Mobil Uygulama,Samsung S21,123.217.xx.79,,,Elektronik,0
TRX9851493667,C3751503996,2024-04-16,07:29:55,97.01,TRY,Alışveriş,Web,Windows PC,200.83.113.6,Gaziantep,Kredi Kartı,Akaryakıt,0
TRX2731906619,C7823077168,2025-09-26,18:49:14,50.59,TRY,Alışveriş,POS,Huawei P40,71.39.100.15,Manisa,Sanal Kart,E-Ticaret,0
TRX2750379212,C2950421167,2024-06-01,20:33:29,71.03,EUR,Alışveriş,Mobil Uygulama,Samsung S21,30.170.128.225,Ankara,Banka Kartı,Abonelik,0
TRX0235258502,C8414887693,2025-09-05,22:13:08,89.0,TRY,,Mobil Uygulama,Huawei P40,211.227.246.190,Trabzon,Banka Kartı,Akaryakıt,0
TRX4018656879,C3322109963,2024-01-06,06:11:46,49.18,TRY,Havale/EFT,POS,Samsng S23,24.107.188.138,Eskişehir,Kredi Kartı,Yemek,0
TRX6978135704,C0416655468,2025-08-30,08:17:00,27.97,,Para Yatırma,Mobil Uygulama,Huawei P40,17.119.198.111,Diyarbakır,Sanal Kart,E-Ticaret,0
TRX9607365249,C3454900479,2025-08-22,10:20:33,103.48,TRY,Para Yatırma,Mobil Uygulama,Windows PC,200.20.215.105,Manisa,Kredi Kartı,Seyahat,0
TRX8892884180,C1568775249,2025-08-17,12:49:53,528.84,TRY,Alışveriş,Çağrı Merkezi,Samsung S21,bilinmiyor,Konya,Sanal Kart,Abonelik,0
TRX4039848129,C8352818891,2025-05-21,11:48:53,67.05,TRY,Fatura Ödeme,Web,,,,Kredi Kartı,Elektronik,0
TRX0107183378,C5474671935,2024-12-25,,112.0,TRY,İade,Çağrı Merkezi,Huawei P40,21.191.16.149,Muğla,Kredi Kartı,Sağlık,0
TRX5900381819,C6936899783,2025-06-21,,167.36,TRY,Para Yatırma,ATM,iPhone 14 Pro,192.90.214.206,İzmir,Kredi Kartı,E-Ticaret,0
TRX0635248545,C6145450082,2024-07-30,09:24:12,32.77,EUR,Para Yatırma,POS,Windows PC,131.240.243.123,Antalya,,,0
TRX7799157068,C0567617059,,05:37:16,71.65,USD,Fatura Ödeme,Mobil Uygulama,Android Tablet,15.27.136.9,Bursa,Banka Kartı,Kuyumcu,0
TRX6971842490,C1084497015,2025-02-27,02:42:58,194.74,TRY,Para Yatırma,,iPhone 13,240.5.13.35,Kocaelı,Banka Kartı, Yemek,0
TRX2138647062,C3059891029,2024-12-15,08:16:11,50.88,TRY,Alışveriş,Mobil Uygulama,Samsung S21,106.181.57.154,Antalya,Kredi Kartı,E-Ticaret,0
TRX9115670369,C9723901586,2025-01-20,21:23:20,45.54,TRY,Havale/EFT,Mobil Uygulama,iPhone 13,59.78.39.26,Şanlıurfa,Kredi Kartı,Yemek,0
TRX7187382372,C5571175805,2025-03-09,23:42:45,121.73,USD,İade,Mobil Uygulama,Samsung S21,117.94.179.209,Balıkesir,Kredi Kartı,Sağlık,0
TRX2589131895,C3515318427,2024-01-29,19:07:12,54.46,TRY,Alışveriş,Mobil Uygulama,MacBook,159.188.135.112,Ankara,Kredi Kartı,Abonelik,0
TRX3581017358,C1244505015,2024-04-16,15:44:51,259.37,TRY,Alışveriş,Web,Android Tablet,219.225.228.81,Eskişehir,Banka Kartı,Giyim,0
TRX7222624322,C3238736598,2024-07-06,01:14:10,469.35,EUR,Alışveriş,Mobil Uygulama,Android Tablet,104.40.211.168,Diyarbakır,Banka Kartı,Sağlık,0
TRX9333277664,C3286259449,2024-03-28,13:05:25,109.38,TRY,Alışveriş,Mobil Uygulama,Android Tablet,176.146.95.202,Samsun,,Kuyumcu,0
TRX2378542930,C6483266558,2024-11-30,01:34:39,22.24,TRY,Alışveriş,Web,,14.130.73.83,Muğla,Kredi Kartı,,0
TRX8357510379,C0431577159,2025-05-24,01:49:13,64.68,TRY,Alışveriş,ATM,iPhone 13,50.93.33.124,Ankara,Kredi Kartı,Seyahat,0
TRX4778637667,C7869651127,2025-05-13,07:22:26,111.46,TRY,Alışveriş,Web,,30.174.79.125,Samsun,Kredi Kartı,Giyim ,0
TRX6696472232,C4907266027,2024-12-24,23:00:27,52.49,TRY,Alışveriş,,iPhone 13,64.57.30.178,İstnbul,Kredi Kartı,Elektronik,0
TRX4635058242,C9425863277,2025-10-13,11:37:18,467.53,EUR,Havale/EFT,Mobil Uygulama,,,Gaziantep,Kredi Kartı,Elektronik,0
TRX0839006863,C2473692019,,18:58:43,167.09,TRY,Alışveriş,Web,Huawei P40,131.115.198.90,Kocaeli,Kredi Kartı,,0
TRX2791931556,C5697818327,2024-03-01,19:36:52,34.39,TRY,Alışveriş,Mobil Uygulama,iPhone 14 Pro,252.180.207.110,İstanbul,,Abonelik,0
TRX5829932937,C8852014771,2025-08-05,,37.05,TRY,Alışveriş,Mobil Uygulama,Samsung S21,223.197.27.217,Trabzon,Kredi Kartı,Market,0
TRX0308783237,C8626886586,2025-03-13,22:09:09,209.46,TRY,Alışveriş,Mobil Uygulama,Samsung S23,227.70.198.50,Kayseri,Ön Ödemeli,Eğlence,0
TRX3317028063,C3920150013,2025-04-28,08:07:39,192.95 TL,USD,Alışveriş,Çağrı Merkezi,Samsung S23,73.26.46.179,Kocaeli,Kredi Kartı,Abonelik,0
TRX5414176037,C1671428262,2025-03-06,21:27:05,45.49,TRY,Alışveriş,ATM,Android Tablet,184.131.244.91,Samsun,Kredi Kartı,Seyahat,0
TRX7203824623,C9861138618,2025-02-25,,39.47,,Alışveriş,Web,Samsung S23,88.244.89.133,,Kredi Kartı,E-Ticaret,0
TRX1163114451,C7312687014,2024-03-10,13:52:39,69.22,TRY,Alışveriş,ATM,,231.254.224.32,Konya,Banka Kartı,Seyahat,0
TRX9024119529,C7233346833,2025-03-02,17:01:27,832.85,TRY,Havale/EFT,Çağrı Merkezi,Huawei P40,174.29.69.250,Manisa,Kredi Kartı,Eğlence,0
TRX8580150892,C1571234069,28-08-2025,18:17:13,79.84,TRY,Alışveriş,,,68.27.213.190,Kocaeli,Kredi Kartı,Market,0
TRX2381656754,C2149610358,2024/08/19,17:29:19,,TRY,Alışveriş,Web,Android Tablet,253.18.180.122,Tekirdağ,Kredi Kartı,Abonelik,0
TRX2987888451,C0407787989,2025-04-04,20:57:14,384.61,TRY,Alışveriş,Web,Xiaomi Mi 11,222.208.161.36,Tekirdağ,Sanal Kart,Yemek,0
TRX8368909787,C3875694534,2024-01-24,,63.91,TRY,,,MacBook,27.225.212.238,İstanbul,Banka Kartı,,0
TRX9394189106,C0211438216,2024-09-21,15:55:03,39.95,TRY,Alışveriş,Web,Samsung S21,118.208.85.105,Muğla,Kredi Kartı,Yemek,0
TRX1104359123,C9397265734,2024-11-28,00:11:42,35.85,USD,Alışveriş,Mobil Uygulama,iPhone 14 Pro,190.162.104.64,Gaziantep,Banka Kartı,Kuyumcu,0
TRX0065026849,C8890230850,,02:54:42,135.09,TRY,Alışveriş,Çağrı Merkezi,Samsung S21,,Konya,Ön Ödemeli,Elektronik,0
TRX7881178781,C0978532254,,14:35:51,59.92,TRY,Fatura Ödeme,,Huawei P40,124.38.244.122,Samsun,Kredi Kartı,Elektronik,0
TRX7822409338,C5587978460,2024-07-29,16:43:09,,TRY,Havale/EFT,Mobil Uygulama,iPhone 13,210.109.111.123,Kocaeli,Banka Kartı,,0
TRX9780715190,C4146039119,2024-11-07,03:45:21,102.79,EUR,Alışveriş,Mobil Uygulama,Xiaomi Mi 11,104.85.2.131,İstanbul,Banka Kartı,Eğlence,0
TRX4617805028,C1892293582,26/01/2026,02:33:09,38.8,TRY,Alışveriş,POS,Samsung S23,161.123.158.8,,, Market,0
TRX4769132292,C8078854436,12.10.2025,11:02:28,96.71,EUR,Para Çekme,ATM,iPhone 14 Pro,,Manisa,Banka Kartı, E-Ticaret,0
TRX4217357340,C7217606772,2024-01-27,21:09:29,,TRY,Alışveriş,ATM,Xiaomi Mi 11,253.240.115.209,Antalya,Kredi Kartı,Giyim,0
TRX1636105905,C2466636605,,23:24:18,28.56,TRY,Alışveriş,Web,Huawei P40,,Konya,Banka Kartı,Yemek,0
TRX0236781887,C3171508351,18/09/2025,04:25:28,"25,55",TRY,,,iPhone 14 Pro,73.39.57.230,Mersin,Kredi Kartı,Sağlık,0
TRX0561435793,C8288093902,14-02-2024,17:46:21,15.24,TRY,Alışveriş,Mobil Uygulama,Xiaomi Mi 11,,Samsun,Kredi Kartı,E-Ticaret,0
TRX6439201808,C3963598571,2025-10-14,18:21:21,79.96,TRY,Havale/EFT,Mobil Uygulama,Samsung S23,38.36.252.113,İzmir,Kredi Kartı,Abonelik,0
TRX6912387195,C8350883535,2024-08-02,06:19:43,22.61,TRY,Havale/EFT,Mobil Uygulama,,229.44.112.75,Tekirdağ,Kredi Kartı, Abonelik,0
TRX5229781984,C1604943461,2025-11-30,19:13:37,163.96,TRY,Havale/EFT,Web,iPhone 14 Pro,,Konya,Banka Kartı,Seyahat,0
TRX1980619548,C1984804996,2024-08-11,14:17:54,233.67,TRY,Para Çekme,Mobil Uygulama,Samsung S21,238.16.24.6,Bursa,Kredi Kartı,Akaryakıt,0
TRX1866639929,C8164216671,2024-11-26,22:47:28,26.44,TRY,Alışveriş,Mobil Uygulama,Samsung S21,47.86.128.165,Mersin,Kredi Kartı,Eğlence,0
TRX6250438991,C9417196756,2025-05-19,11:00:50,45.73,TRY,İade,Çağrı Merkezi,iPhone 14 Pro,,,Kredi Kartı,Seyahat,0
TRX1377262725,C9582740877,2024-04-06,05:37:31,33.33,USD,Alışveriş,Web,Huawei P40,165.197.77.139,Manisa,Banka Kartı,Abonelik,0
TRX5675986064,C4996197554,28.02.2025,10:32:36,29.08,,Havale/EFT,ATM,iPhone 14 Pro,191.37.227.167,Gaziantep,,Market,0
TRX4049800718,C6926565608,2025-01-19,08:42:30,131.0,TRY,Para Çekme,Mobil Uygulama,Samsung S21,89.28.33.181,Eskişehir,Ön Ödemeli,Elektronik,0
TRX6993557438,C5007478942,2025-08-20,01:15:15,67.35,TRY,Alışveriş,ATM,MacBook,bilinmiyor,Kocaeli,Kredi Kartı,Giyim,0
TRX9950725429,C6359615273,2026-01-29,02:45:30,,TRY,Alışveriş,POS,Win pc,150.54.206.147,Samsun,Kredi Kartı,Sağlık,0
TRX9979327798,C7516416484,2025-05-21,15:14:53,129.3,TRY,,Mobil Uygulama,Android Tablet,85.218.194.174,Ankara,Kredi Kartı,Kuyumcu,0
TRX2335778680,C6759029156,2024-11-07,14:16:15,42.14,TRY,Havale/EFT,Mobil Uygulama,Samsung S23,222.94.242.63,,Kredi Kartı,Sağlık,1
TRX3992147671,C4462843983,2024-11-05,14:30:07,48.66,TRY,Alışveriş,POS,Samsung S23,168.50.54.139,İzmir,Kredi Kartı,Yemek,0
TRX9420375970,C7518347696,2024-11-14,05:23:22,149.95,TRY,Alışveriş,Web,Android Tablet,101.40.117.144,Mersin,Kredi Kartı,Eğlence,0
TRX4863850413,C0149410284,2025-09-12,02:42:04,48.71,TRY,Alışveriş,Mobil Uygulama,,139.64.246.107,Kony,Kredi Kartı,,0
TRX2985409698,C5009838944,2024-09-01,20:22:17,39.93,TRY,Alışveriş,Mobil Uygulama,Huawei P40,251.144.236.176,Manisa,Kredi Kartı,Seyahat,0
